Literature data from W.P.Abfalterer (2001)
Natural Pb (n,tot)
MeV         Barns       Error(Barns)
356.5       2.877       0.02163     
360.1       2.87        0.0216      
363.7       2.878       0.0216      
367.4       2.881       0.02165     
371.        2.897       0.02168     
374.8       2.899       0.02169     
378.5       2.886       0.02166     
382.3       2.88        0.02167     
386.2       2.9         0.02175     
390.1       2.904       0.02175     
394.        2.885       0.02173     
398.        2.909       0.02172     
402.        2.948       0.02171     
406.        2.913       0.02171     
410.1       2.918       0.02178     
414.2       2.933       0.02176     
418.4       2.922       0.02173     
422.6       2.931       0.02176     
426.8       2.93        0.02178     
431.1       2.922       0.0218      
435.4       2.933       0.02186     
439.8       2.961       0.02195     
444.2       2.953       0.02194     
448.7       2.949       0.02195     
453.2       2.952       0.02209     
457.8       2.958       0.02226     
462.4       2.964       0.0224      
467.        2.98        0.02251     
471.7       2.994       0.02261     
476.4       2.995       0.02276     
481.2       2.979       0.02297     
486.1       2.987       0.02325     
490.9       2.996       0.02354     
495.9       3.019       0.02386     
500.9       3.029       0.03874     
505.9       3.032       0.03899     
511.        3.035       0.03929     
516.1       3.048       0.03971     
521.3       3.066       0.04025     
526.5       3.082       0.04082     
531.8       3.095       0.04134     
537.2       3.069       0.04163     
542.6       3.073       0.04231     
548.        3.069       0.04301     
553.5       3.091       0.04399     
559.1       3.114       0.04507     
