Literature data from J.A. Harvey et al (1991) (to 5.29 MeV); R.W. Finlay et al (1993) (>5.29 MeV)
NatN(n,tot)
MeV        Barns       Error (Barns)
10.6579      1.41765     0.0003552
10.765       1.43045     0.0003794
10.8732      1.39414     0.0003873
10.9825      1.36518     0.0003766
11.0929      1.36659     0.0003647
11.2044      1.36731     0.0003722
11.317       1.36296     0.0003735
11.4307      1.37146     0.0003807
11.5456      1.41822     0.0003789
11.6616      1.45257     0.0003858
11.7788      1.44372     0.0003705
11.8972      1.49576     0.0003851
12.0168      1.49893     0.0003941
12.1375      1.49929     0.0003896
12.2595      1.52271     0.0003894
12.3827      1.53798     0.0003837
12.5072      1.54669     0.0003821
12.6329      1.55414     0.0003822
12.7599      1.55208     0.0004049
12.8881      1.54249     0.0003989
13.0176      1.54613     0.0003988
13.1484      1.54911     0.0003984
13.2806      1.55794     0.0004174
13.4141      1.53209     0.000409 
13.5489      1.54577     0.0004045
13.6851      1.52699     0.0004107
13.8226      1.53344     0.0004141
13.9615      1.56125     0.0004172
14.1018      1.57195     0.0004213
14.2436      1.55001     0.0004235
14.3867      1.55959     0.0004255
14.5313      1.56814     0.0004354
14.6773      1.58182     0.0004327
14.8249      1.58575     0.0004306
14.9738      1.54752     0.0004349
15.1243      1.56332     0.0004419
15.2763      1.55755     0.0004325
15.4299      1.56057     0.0004384
15.5849      1.57117     0.000449 
15.7416      1.5773      0.0004447
15.8998      1.57433     0.0004511
16.0596      1.55885     0.0004515
16.221       1.55523     0.0004577
16.384       1.55685     0.0004636
16.5487      1.56568     0.0004583
16.715       1.55702     0.0004583
16.883       1.55961     0.0004561
17.0527      1.57604     0.0004571
17.224       1.59344     0.0004569
17.3971      1.57562     0.0004611
17.572       1.57227     0.000461 
17.7486      1.58235     0.0004652
17.927       1.58399     0.0004613
18.1071      1.54363     0.0004694
18.2891      1.57217     0.0004636
18.4729      1.52984     0.0004631
18.6586      1.54018     0.000465 
18.8461      1.53288     0.0004644
19.0355      1.55544     0.0004584
19.2268      1.54828     0.00046  
19.4201      1.52462     0.0004538
19.6152      1.55531     0.000455 
19.8124      1.55808     0.0004512
20.0115      1.55449     0.0004489
20.2126      1.55423     0.0004449
20.4158      1.54217     0.0004536
20.621       1.54705     0.0004494
20.8282      1.53216     0.0004455
21.0375      1.55249     0.0004498
21.249       1.54846     0.0004408
21.4625      1.50742     0.0004418
21.6782      1.53529     0.000442 
21.8961      1.5174      0.0004368
22.1162      1.52339     0.0004329
22.3384      1.53797     0.00043  
22.5629      1.52795     0.0004292
22.7897      1.5192      0.0004236
23.0187      1.53081     0.0004173
23.2501      1.52848     0.0004174
23.4838      1.5278      0.0004142
23.7198      1.53747     0.0004109
23.9582      1.47355     0.0004058
24.1989      1.49313     0.0004017
24.4422      1.507       0.0004039
24.6878      1.47608     0.0004002
24.9359      1.5026      0.0003989
25.1865      1.49095     0.000395 
25.4397      1.47195     0.0003942
25.6953      1.47174     0.0003927
25.9536      1.49307     0.0003834
26.2144      1.46036     0.0003874
26.4779      1.44839     0.0003882
26.744       1.4383      0.0003862
27.0128      1.45399     0.0003877
27.2843      1.44049     0.0003817
27.5585      1.45543     0.0003795
27.8354      1.42727     0.000381 
28.1152      1.44593     0.000381 
28.3978      1.40393     0.0003825
28.6832      1.40394     0.000377 
28.9714      1.41824     0.0003812
29.2626      1.43294     0.0003809
29.5567      1.40092     0.0003825
29.8538      1.41187     0.0003835
30.1538      1.40685     0.0003885
30.4569      1.38439     0.0003807
30.7629      1.3851      0.0003845
31.0721      1.36928     0.0003874
31.3844      1.3725      0.000385 
31.6998      1.38214     0.0003902
32.0184      1.36718     0.0003855
32.3402      1.36323     0.0003886
32.6652      1.3729      0.0003856
32.9935      1.3549      0.0003893
33.3251      1.33386     0.000387 
33.66        1.34656     0.0003871
33.9983      1.32363     0.0003883
34.34        1.35295     0.0003877
34.6852      1.32775     0.000388 
35.0337      1.3156      0.0003932
35.3858      1.2947      0.0003941
35.7415      1.29822     0.0003937
36.1007      1.29027     0.0003938
36.4635      1.27293     0.000396 
36.83        1.26476     0.0003958
37.2001      1.28214     0.0003987
37.574       1.26428     0.000401 
37.9516      1.28698     0.0004038
38.3331      1.24379     0.0004039
38.7183      1.24469     0.0004055
39.1074      1.25475     0.0004047
39.5005      1.25189     0.0004136
39.8975      1.22096     0.0004167
40.2984      1.20669     0.0004148
40.7035      1.21168     0.0004162
41.1125      1.19638     0.0004216
41.5257      1.2138      0.000418 
41.9431      1.18102     0.0004232
42.3646      1.17344     0.0004248
42.7904      1.17533     0.0004298
43.2204      1.17766     0.0004353
43.6548      1.15651     0.0004354
44.0936      1.15575     0.0004416
44.5367      1.15547     0.0004438
44.9843      1.12349     0.0004509
45.4364      1.13219     0.0004483
45.8931      1.12686     0.0004533
46.3543      1.101       0.0004596
46.8202      1.10253     0.0004595
47.2907      1.10148     0.000473 
47.766       1.08366     0.0004764
48.2461      1.07996     0.00048  
48.731       1.08463     0.0004816
49.2207      1.05864     0.0004832
49.7154      1.07396     0.0004928
50.2151      1.06601     0.000498 
50.7197      1.02986     0.0005038
51.2295      1.03298     0.0005115
51.7443      1.04381     0.0005135
52.2644      1.0164      0.0005217
52.7896      1.02771     0.0005255
53.3202      0.995451    0.0005356
53.8561      0.99639     0.0005443
54.3973      0.987792    0.0005547
54.944       0.973178    0.0005575
55.4963      0.973985    0.000571 
56.054       0.955119    0.0005754
56.6174      0.954725    0.0005798
57.1864      0.940505    0.0005891
57.7611      0.933001    0.000595 
58.3416      0.935493    0.0006086
58.928       0.924421    0.0006177
59.5202      0.918858    0.0006255
60.1184      0.920831    0.0006373
60.7226      0.902234    0.0006398
61.3329      0.903404    0.0006512
61.9493      0.878176    0.0006608
62.5719      0.88605     0.0006714
63.2008      0.879435    0.000684 
63.8359      0.861828    0.0006921
64.4775      0.856833    0.0007082
65.1255      0.852531    0.0007167
65.7801      0.829531    0.0007293
66.4412      0.830096    0.0007456
67.1089      0.804358    0.0007563
67.7834      0.818712    0.0007686
68.4646      0.806273    0.0007912
69.1527      0.779755    0.0007943
69.8477      0.797083    0.0008078
70.5497      0.77364     0.0008357
71.2587      0.775909    0.0008317
71.9749      0.762369    0.0008562
72.6982      0.749614    0.0008842
73.4289      0.765557    0.0008815
74.1669      0.748586    0.0008945
74.9123      0.735716    0.0009155
75.6651      0.739157    0.000928 
76.4256      0.730223    0.0009402
77.1937      0.715667    0.0009807
77.9695      0.696311    0.0009942
78.7531      0.704882    0.0009903
79.5446      0.702527    0.001023 
80.344       0.688898    0.001057 
81.1515      0.677001    0.001066 
81.9671      0.675803    0.001084 
82.7909      0.671883    0.001109 
83.623       0.664161    0.001128 
84.4634      0.647654    0.001162 
85.3123      0.647106    0.001169 
86.1697      0.636894    0.001194 
87.0357      0.621777    0.001209 
87.9104      0.628639    0.001248 
88.794       0.628152    0.001272 
89.6864      0.617496    0.001279 
90.5877      0.606156    0.001308 
91.4982      0.604239    0.001328 
92.4178      0.594431    0.001363 
93.3466      0.580572    0.001384 
94.2847      0.576979    0.001409 
95.2323      0.580062    0.001435 
96.1894      0.58422     0.001459 
97.1562      0.558619    0.001518 
98.1326      0.57234     0.001511 
99.1188      0.5653      0.001555 
100.115      0.546583    0.001584 
101.121      0.538422    0.001612 
102.137      0.537464    0.001642 
103.164      0.534358    0.001688 
104.201      0.525661    0.001737 
105.248      0.523226    0.001701 
106.306      0.515288    0.001756 
107.374      0.497868    0.001802 
108.453      0.507477    0.001825 
109.543      0.503107    0.001876 
110.644      0.495149    0.001918 
111.756      0.491309    0.001929 
112.879      0.490272    0.001996 
114.014      0.478783    0.002009 
115.16       0.478978    0.00205  
116.317      0.467757    0.002109 
117.486      0.473183    0.002128 
118.667      0.477629    0.002167 
119.86       0.456243    0.002192 
121.064      0.446025    0.002247 
122.281      0.451529    0.002256 
123.51       0.451844    0.002303 
124.751      0.439009    0.002338 
126.005      0.441908    0.002373 
127.271      0.439824    0.00241  
128.551      0.421656    0.002449 
129.842      0.425808    0.002475 
131.147      0.417193    0.002562 
132.465      0.422378    0.002546 
133.797      0.418161    0.002589 
135.141      0.410876    0.002658 
136.5        0.410441    0.002693 
137.872      0.406648    0.002745 
139.257      0.402385    0.002785 
140.657      0.396503    0.002857 
142.07       0.394593    0.002876 
143.498      0.385449    0.002893 
144.94       0.387607    0.002939 
146.397      0.379852    0.003013 
147.868      0.384086    0.003    
149.355      0.373524    0.003083 
150.856      0.382809    0.003106 
152.372      0.363857    0.003109 
153.903      0.3651      0.003218 
155.45       0.375936    0.00319  
157.012      0.364508    0.003297 
158.59       0.361278    0.003276 
160.184      0.367148    0.003288 
161.794      0.358377    0.003363 
163.42       0.347463    0.003443 
165.062      0.34385     0.003498 
166.721      0.350827    0.003548 
168.397      0.34783     0.003538 
170.089      0.34976     0.003597 
171.799      0.347684    0.00355  
173.525      0.336145    0.003646 
175.269      0.338439    0.003696 
177.031      0.336787    0.003729 
178.81       0.345869    0.003725 
180.607      0.340907    0.003768 
182.422      0.326863    0.003859 
184.256      0.330678    0.003904 
186.107      0.336363    0.003978 
187.978      0.330217    0.003939 
189.867      0.326772    0.004082 
191.775      0.326876    0.00399  
193.703      0.327244    0.004    
195.65       0.324139    0.004099 
197.616      0.320132    0.004102 
199.602      0.321798    0.00416  
201.608      0.322228    0.004187 
203.634      0.32723     0.004156 
205.681      0.315958    0.004231 
207.748      0.320897    0.004316 
209.836      0.308351    0.004397 
211.945      0.316847    0.004319 
214.075      0.311633    0.00438  
216.226      0.315231    0.004409 
218.399      0.30803     0.004437 
220.594      0.305479    0.004525 
222.811      0.315835    0.004492 
225.051      0.31403     0.004522 
227.313      0.317511    0.004528 
229.597      0.308651    0.004538 
231.905      0.306995    0.004575 
234.235      0.312157    0.004658 
236.589      0.303348    0.004711 
238.967      0.298774    0.004587 
241.369      0.311037    0.00467  
243.795      0.306344    0.004744 
246.245      0.302027    0.004705 
248.72       0.302374    0.00477  
251.22       0.304767    0.004711 
253.744      0.299505    0.004783 
256.295      0.301671    0.004795 
258.87       0.306816    0.004855 
261.472      0.307429    0.004853 
264.1        0.304822    0.004858 
266.754      0.300054    0.004845 
269.435      0.302075    0.004891 
272.143      0.297695    0.004931 
274.878      0.29961     0.004916 
277.641      0.296538    0.004965 
280.431      0.298627    0.004919 
283.25       0.301394    0.004941 
286.096      0.306082    0.004966 
288.972      0.300131    0.005003 
291.876      0.300451    0.004977 
294.809      0.293957    0.005014 
297.772      0.299419    0.004892 
300.765      0.303275    0.005072 
303.788      0.303095    0.005104 
306.841      0.292939    0.005105 
309.925      0.302204    0.005035 
313.039      0.29054     0.005101 
316.186      0.305349    0.005054 
319.363      0.310671    0.005055 
322.573      0.30196     0.005156 
325.815      0.302774    0.00508  
329.089      0.309344    0.004923 
332.397      0.296247    0.005107 
335.738      0.306089    0.005059 
339.112      0.302917    0.00516  
342.52       0.306453    0.00507  
345.962      0.302635    0.005138 
349.439      0.306917    0.00511  
352.951      0.307286    0.005015 
356.498      0.314806    0.005075 
360.081      0.299184    0.005111 
363.7        0.305477    0.005009 
367.356      0.313725    0.005159 
371.048      0.304687    0.005082 
374.777      0.318066    0.004995 
378.543      0.318872    0.005024 
382.348      0.310271    0.004983 
386.19       0.306688    0.00509  
390.072      0.31426     0.005022 
393.992      0.312112    0.00497  
397.952      0.320436    0.005067 
401.951      0.321269    0.004999 
405.991      0.315754    0.004962 
410.071      0.313499    0.00495  
414.193      0.317202    0.004869 
418.355      0.3337      0.004871 
422.56       0.316903    0.004914 
426.807      0.317881    0.004883 
431.096      0.317618    0.004852 
435.429      0.30952     0.004954 
439.805      0.324383    0.004857 
444.225      0.323121    0.004815 
448.69       0.321179    0.004816 
453.199      0.32267     0.004821 
457.754      0.325613    0.004814 
462.354      0.321312    0.004776 
467.001      0.320039    0.004829 
471.695      0.328462    0.004895 
476.435      0.321304    0.004901 
481.224      0.339587    0.004742 
486.06       0.342205    0.004745 
490.945      0.336006    0.004759 
495.879      0.339956    0.004744 
500.863      0.338508    0.004668 
505.897      0.337765    0.004706 
510.981      0.351198    0.004802 
516.117      0.33646     0.004831 
521.304      0.338342    0.004836 
526.543      0.34178     0.004853 
531.835      0.349222    0.004893 
537.18       0.345223    0.004934 
542.579      0.349568    0.005086 
548.032      0.340961    0.005107 
553.539      0.35373     0.005256 
559.103      0.359764    0.005299 
564.722      0.350226    0.005571 
570.397      0.351915    0.005681 
576.13       0.362967    0.00567  
581.92       0.374389    0.005834 
587.769      0.365011    0.006157 
593.676      0.374952    0.006379 
599.643      0.375348    0.006488 
